,Pair,K,W,Entropy_RLVR,Entropy_Base,GenSim_RLVR,GenSim_Base,Gap_RLVR,Gap_Base,Necessity,Sufficiency
0,Llama8B_GSM8K_L22,2,1,0.012446013,0.10953493,0.8473780225376978,0.9334267838676896,0.8617605762508949,0.5282219737196161,5.891257686447242,0.3566191371449012
1,Llama8B_GSM8K_L22,2,3,0.0072435453,0.05730932,0.8825404106274896,0.961169493464997,0.9140071195598398,0.5437726703922774,7.405252293097047,0.45839948300049066
2,Llama8B_GSM8K_L22,2,5,0.0034450023,0.06265196,0.9209996606797388,0.9683527566137768,0.7389063614954313,0.3432822321712191,10.432282055900199,0.5013594216595049
3,Llama8B_GSM8K_L22,4,1,0.02229554,0.12010553,0.912043381767426,0.9470131168637491,0.8394094141028903,0.4897470253736116,9.629792146350091,0.3751286456383937
4,Llama8B_GSM8K_L22,4,3,0.0111505715,0.20415054,0.9513863041804344,0.9699719241156746,0.7432860966395493,0.3793589847757015,16.37882180805693,0.47527511037786463
5,Llama8B_GSM8K_L22,4,5,0.008407932,0.21757235,0.9677656565082672,0.9715440746574174,0.7018125804242545,0.2812836177398712,22.454476358032004,0.5146235553558827
6,Llama8B_GSM8K_L22,6,1,0.029635163,0.2116292,0.9420509005202514,0.9530099003911645,0.8303097831577828,0.32819650564148994,13.729587707833167,0.37897272423408207
7,Llama8B_GSM8K_L22,6,3,0.015697619,0.2574903,0.965318192711448,0.9700923937673386,0.7044907472840096,0.34793412454793937,21.731829478323167,0.4864336706291789
8,Llama8B_GSM8K_L22,6,5,0.02139406,0.2494541,0.9810322295176929,0.974985556162539,0.7804217183700654,0.1372814382834101,35.39993158277243,0.5289795694163157
9,Llama8B_GSM8K_L22,8,1,0.035633873,0.36622325,0.9519572236024875,0.9536636415340171,0.821011122387527,0.4411455810596844,17.553757162425818,0.39024620198720106
10,Llama8B_GSM8K_L22,8,3,0.016226793,0.32995042,0.9728978884818972,0.9731300759096496,0.7280914068329407,0.22524574979168666,28.958788113686904,0.4962569530279682
11,Llama8B_GSM8K_L22,8,5,0.01708626,0.33573622,0.9845296965750385,0.9784561720632371,0.5986886375024547,0.26951709473307783,52.27797998391848,0.5394727156042964
